id,rank,pick,name,position,team,bye,ADP,STD,HIGH,LOW
187,187,14.08,Michael Gallup,WR,DAL,8,163.7,13.6,12.08,15.12
188,188,14.08,Kenny Stills,WR,MIA,5,163.8,13.9,12.11,16.04
189,189,14.08,Chris Herndon IV,TE,NYJ,4,164,14.4,12.02,16.1
190,190,14.08,Deebo Samuel,WR,FA,12,164.2,10.2,12.05,15.12
191,191,14.09,Marquise Goodwin,WR,SF,4,164.8,14.5,11.03,15.12
192,192,14.1,Tre'Quan Smith,WR,NO,9,165.9,10.9,11.07,15.12
193,193,14.1,Philadelphia Defense,DEF,PHI,10,166.1,9.8,11.12,15.12
194,194,14.1,Randall Cobb,WR,DAL,8,166.2,13.3,12.07,15.12
195,195,14.11,Giorgio Tavecchio,PK,ATL,9,167.1,5.5,13.11,15.12
196,196,14.11,Jake Elliott,PK,PHI,10,167.4,4.5,14.05,15.12
197,197,14.12,New England Defense,DEF,NE,10,167.6,15.3,6.08,15.12
198,198,15.01,Indianapolis Defense,DEF,IND,6,168.7,8,13.07,15.12
199,199,15.01,Adam Vinatieri,PK,IND,6,169.1,4.4,14.03,15.11
200,200,15.02,Matthew Stafford,QB,DET,5,169.6,10.4,12.1,16.02
201,201,15.02,New Orleans Defense,DEF,NO,9,170,9.5,11.09,15.12
202,202,15.02,Robbie Gould,PK,SF,4,170.4,4.7,14.05,15.12
203,203,15.03,Buffalo Defense,DEF,BUF,6,170.8,11.5,11.09,16.07
204,204,15.04,Michael Badgley,PK,LAC,12,171.6,7.4,12.12,16.09
205,205,15.05,Mason Crosby,PK,GB,11,173.1,3.6,14.1,15.11
206,206,15.06,Brett Maher,PK,DAL,8,173.6,4.6,14.06,16.06
